Raw,Start,End,Start_region,End_region,Region,AsiaNative
Indonesia Sunda Is to Australia,Sunda Is.,Australia,Lesser_Sundas,-,Lesser_Sundas,1
Indonesia to Australia,Indonesia,Australia,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea ,-,"Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Indonesia to China,Indonesia,China,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea ,-,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Israel to Bhutan,-,Bhutan,-,Indian_Subcontinent,Indian_Subcontinent,1
Israel to China,-,China,-,-,NA,NA
Italy to China,-,China,-,-,NA,NA
Japan Ryukyu Is to Australia,Ryukyu Is.,Australia,IndoChina,-,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1
Japan to Australia,Japan,Australia,-,-,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1
Japan to Micronesia,Japan,-,-,-,"Philippines, Palawan, Sulawesi, Maluku, New_Guinea",1
Kazakhstan to China,-,China,-,-,NA,NA
Kazakhstan to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
Laos to China,Laos,China,IndoChina,-,IndoChina,1
Libya to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
Madagascar to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
Malaysia to Australia,Malaysia,Australia,Malaya; Borneo,-,"Malaya, Borneo, Sumatra, Java, Lesser_Sundas",1
Malaysia to Australia Northern Territory,Malaysia,Australia,Malaya; Borneo,Northern_Australia,"Malaya, Borneo, Sumatra, Java, Lesser_Sundas",1
Malaysia to Indonesia,Malaysia,Indonesia,Malaya; Borneo,Sumatra; Java; Borneo; Sulawesi; Lesser_Sundas; Maluku; New_Guinea,"Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Malaysia to Indonesia Java,Malaysia,Java,Malaya; Borneo,Java,"Malaya, Borneo, Sumatra, Java",1
Malaysia to Indonesia Lombok,Malaysia,Lesser_Sundas,Malaya; Borneo,Lesser_Sundas,"Malaya, Borneo, Sumatra, Java, Lesser_Sundas",1
Malaysia to Indonesia Sulawesi,Malaysia,Sulawesi,Malaya; Borneo,Sulawesi,"Malaya, Borneo, Sulawesi",1
Malaysia to New Guinea,Malaysia,New_Guinea,Malaya; Borneo,New_Guinea,"Malaya, Borneo, Sumatra, Java, Sulawesi, Lesser_Sundas, Maluku, New_Guinea",1
Mediterranean to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
Mediterranean to Japan,-,Japan,-,-,NA,NA
Middle East to Central Asia and China,-,China,-,-,NA,NA
Middle East to India,-,India,-,Indian_Subcontinent,Indian_Subcontinent,1
Myanmar and Philippines to New Guinea,Myanmar,New_Guinea,IndoChina,New_Guinea,"IndoChina, Malaya, Sumatra, Java, Borneo, Sulawesi, Lesser_Sundas, Maluku, New_Guinea, Philippines, Palawan",1
